season_day,dteday,hour,casual_hour,registered_hour,count_hour,count_day,time_group
springer,2011-01-01,0,3,13,16,985,
springer,2011-01-01,1,8,32,40,985,01:00 - 02:59
springer,2011-01-01,2,5,27,32,985,01:00 - 02:59
springer,2011-01-01,3,3,10,13,985,03:00 - 04:59
springer,2011-01-01,4,0,1,1,985,03:00 - 04:59
springer,2011-01-01,5,0,1,1,985,05:00 - 06:59
springer,2011-01-01,6,2,0,2,985,05:00 - 06:59
springer,2011-01-01,7,1,2,3,985,07:00 - 08:59
springer,2011-01-01,8,1,7,8,985,07:00 - 08:59
springer,2011-01-01,9,8,6,14,985,09:00 - 10:59
springer,2011-01-01,10,12,24,36,985,09:00 - 10:59
springer,2011-01-01,11,26,30,56,985,11:00 - 12:59
springer,2011-01-01,12,29,55,84,985,11:00 - 12:59
springer,2011-01-01,13,47,47,94,985,13:00 - 14:59
springer,2011-01-01,14,35,71,106,985,13:00 - 14:59
springer,2011-01-01,15,40,70,110,985,15:00 - 16:59
springer,2011-01-01,16,41,52,93,985,15:00 - 16:59
springer,2011-01-01,17,15,52,67,985,17:00 - 18:59
springer,2011-01-01,18,9,26,35,985,17:00 - 18:59
springer,2011-01-01,19,6,31,37,985,19:00 - 20:59
springer,2011-01-01,20,11,25,36,985,19:00 - 20:59
springer,2011-01-01,21,3,31,34,985,21:00 - 22:59
springer,2011-01-01,22,11,17,28,985,21:00 - 22:59
springer,2011-01-01,23,15,24,39,985,23:00 - 24:59
springer,2011-01-02,0,4,13,17,801,
springer,2011-01-02,1,1,16,17,801,01:00 - 02:59
springer,2011-01-02,2,1,8,9,801,01:00 - 02:59
springer,2011-01-02,3,2,4,6,801,03:00 - 04:59
springer,2011-01-02,4,2,1,3,801,03:00 - 04:59
springer,2011-01-02,6,0,2,2,801,05:00 - 06:59
springer,2011-01-02,7,0,1,1,801,07:00 - 08:59
springer,2011-01-02,8,0,8,8,801,07:00 - 08:59
springer,2011-01-02,9,1,19,20,801,09:00 - 10:59
springer,2011-01-02,10,7,46,53,801,09:00 - 10:59
springer,2011-01-02,11,16,54,70,801,11:00 - 12:59
springer,2011-01-02,12,20,73,93,801,11:00 - 12:59
springer,2011-01-02,13,11,64,75,801,13:00 - 14:59
springer,2011-01-02,14,4,55,59,801,13:00 - 14:59
springer,2011-01-02,15,19,55,74,801,15:00 - 16:59
springer,2011-01-02,16,9,67,76,801,15:00 - 16:59
springer,2011-01-02,17,7,58,65,801,17:00 - 18:59
springer,2011-01-02,18,10,43,53,801,17:00 - 18:59
springer,2011-01-02,19,1,29,30,801,19:00 - 20:59
springer,2011-01-02,20,5,17,22,801,19:00 - 20:59
springer,2011-01-02,21,11,20,31,801,21:00 - 22:59
springer,2011-01-02,22,0,9,9,801,21:00 - 22:59
springer,2011-01-02,23,0,8,8,801,23:00 - 24:59
springer,2011-01-03,0,0,5,5,1349,
springer,2011-01-03,1,0,2,2,1349,01:00 - 02:59
springer,2011-01-03,4,0,1,1,1349,03:00 - 04:59
springer,2011-01-03,5,0,3,3,1349,05:00 - 06:59
springer,2011-01-03,6,0,30,30,1349,05:00 - 06:59
springer,2011-01-03,7,1,63,64,1349,07:00 - 08:59
springer,2011-01-03,8,1,153,154,1349,07:00 - 08:59
springer,2011-01-03,9,7,81,88,1349,09:00 - 10:59
springer,2011-01-03,10,11,33,44,1349,09:00 - 10:59
springer,2011-01-03,11,10,41,51,1349,11:00 - 12:59
springer,2011-01-03,12,13,48,61,1349,11:00 - 12:59
springer,2011-01-03,13,8,53,61,1349,13:00 - 14:59
springer,2011-01-03,14,11,66,77,1349,13:00 - 14:59
springer,2011-01-03,15,14,58,72,1349,15:00 - 16:59
springer,2011-01-03,16,9,67,76,1349,15:00 - 16:59
springer,2011-01-03,17,11,146,157,1349,17:00 - 18:59
springer,2011-01-03,18,9,148,157,1349,17:00 - 18:59
springer,2011-01-03,19,8,102,110,1349,19:00 - 20:59
springer,2011-01-03,20,3,49,52,1349,19:00 - 20:59
springer,2011-01-03,21,3,49,52,1349,21:00 - 22:59
springer,2011-01-03,22,0,20,20,1349,21:00 - 22:59
springer,2011-01-03,23,1,11,12,1349,23:00 - 24:59
springer,2011-01-04,0,0,5,5,1562,
springer,2011-01-04,1,0,2,2,1562,01:00 - 02:59
springer,2011-01-04,2,0,1,1,1562,01:00 - 02:59
springer,2011-01-04,4,0,2,2,1562,03:00 - 04:59
springer,2011-01-04,5,0,4,4,1562,05:00 - 06:59
springer,2011-01-04,6,0,36,36,1562,05:00 - 06:59
springer,2011-01-04,7,2,92,94,1562,07:00 - 08:59
springer,2011-01-04,8,2,177,179,1562,07:00 - 08:59
springer,2011-01-04,9,2,98,100,1562,09:00 - 10:59
springer,2011-01-04,10,5,37,42,1562,09:00 - 10:59
springer,2011-01-04,11,7,50,57,1562,11:00 - 12:59
springer,2011-01-04,12,12,66,78,1562,11:00 - 12:59
springer,2011-01-04,13,18,79,97,1562,13:00 - 14:59
springer,2011-01-04,14,9,54,63,1562,13:00 - 14:59
springer,2011-01-04,15,17,48,65,1562,15:00 - 16:59
springer,2011-01-04,16,15,68,83,1562,15:00 - 16:59
springer,2011-01-04,17,10,202,212,1562,17:00 - 18:59
springer,2011-01-04,18,3,179,182,1562,17:00 - 18:59
springer,2011-01-04,19,2,110,112,1562,19:00 - 20:59
springer,2011-01-04,20,1,53,54,1562,19:00 - 20:59
springer,2011-01-04,21,0,48,48,1562,21:00 - 22:59
springer,2011-01-04,22,1,34,35,1562,21:00 - 22:59
springer,2011-01-04,23,2,9,11,1562,23:00 - 24:59
springer,2011-01-05,0,0,6,6,1600,
springer,2011-01-05,1,0,6,6,1600,01:00 - 02:59
springer,2011-01-05,2,0,2,2,1600,01:00 - 02:59
springer,2011-01-05,4,0,2,2,1600,03:00 - 04:59
springer,2011-01-05,5,0,3,3,1600,05:00 - 06:59
springer,2011-01-05,6,0,33,33,1600,05:00 - 06:59
springer,2011-01-05,7,1,87,88,1600,07:00 - 08:59
springer,2011-01-05,8,3,192,195,1600,07:00 - 08:59
springer,2011-01-05,9,6,109,115,1600,09:00 - 10:59
springer,2011-01-05,10,4,53,57,1600,09:00 - 10:59
springer,2011-01-05,11,12,34,46,1600,11:00 - 12:59
springer,2011-01-05,12,5,74,79,1600,11:00 - 12:59
springer,2011-01-05,13,6,65,71,1600,13:00 - 14:59
springer,2011-01-05,14,10,52,62,1600,13:00 - 14:59
springer,2011-01-05,15,7,55,62,1600,15:00 - 16:59
springer,2011-01-05,16,4,85,89,1600,15:00 - 16:59
springer,2011-01-05,17,4,186,190,1600,17:00 - 18:59
springer,2011-01-05,18,3,166,169,1600,17:00 - 18:59
springer,2011-01-05,19,5,127,132,1600,19:00 - 20:59
springer,2011-01-05,20,7,82,89,1600,19:00 - 20:59
springer,2011-01-05,21,3,40,43,1600,21:00 - 22:59
springer,2011-01-05,22,1,41,42,1600,21:00 - 22:59
springer,2011-01-05,23,1,18,19,1600,23:00 - 24:59
springer,2011-01-06,0,0,11,11,1606,
springer,2011-01-06,1,0,4,4,1606,01:00 - 02:59
springer,2011-01-06,2,0,2,2,1606,01:00 - 02:59
springer,2011-01-06,4,0,1,1,1606,03:00 - 04:59
springer,2011-01-06,5,0,4,4,1606,05:00 - 06:59
springer,2011-01-06,6,0,36,36,1606,05:00 - 06:59
springer,2011-01-06,7,0,95,95,1606,07:00 - 08:59
springer,2011-01-06,8,3,216,219,1606,07:00 - 08:59
springer,2011-01-06,9,6,116,122,1606,09:00 - 10:59
springer,2011-01-06,10,3,42,45,1606,09:00 - 10:59
springer,2011-01-06,11,2,57,59,1606,11:00 - 12:59
springer,2011-01-06,12,6,78,84,1606,11:00 - 12:59
springer,2011-01-06,13,12,55,67,1606,13:00 - 14:59
springer,2011-01-06,14,11,59,70,1606,13:00 - 14:59
springer,2011-01-06,15,8,54,62,1606,15:00 - 16:59
springer,2011-01-06,16,12,74,86,1606,15:00 - 16:59
springer,2011-01-06,17,9,163,172,1606,17:00 - 18:59
springer,2011-01-06,18,5,158,163,1606,17:00 - 18:59
springer,2011-01-06,19,3,109,112,1606,19:00 - 20:59
springer,2011-01-06,20,3,66,69,1606,19:00 - 20:59
springer,2011-01-06,21,0,48,48,1606,21:00 - 22:59
springer,2011-01-06,22,1,51,52,1606,21:00 - 22:59
springer,2011-01-06,23,4,19,23,1606,23:00 - 24:59
springer,2011-01-07,0,4,13,17,1510,
springer,2011-01-07,1,2,5,7,1510,01:00 - 02:59
springer,2011-01-07,2,0,1,1,1510,01:00 - 02:59
springer,2011-01-07,4,0,1,1,1510,03:00 - 04:59
springer,2011-01-07,5,0,5,5,1510,05:00 - 06:59
springer,2011-01-07,6,8,26,34,1510,05:00 - 06:59
springer,2011-01-07,7,8,76,84,1510,07:00 - 08:59
springer,2011-01-07,8,20,190,210,1510,07:00 - 08:59
springer,2011-01-07,9,9,125,134,1510,09:00 - 10:59
springer,2011-01-07,10,16,47,63,1510,09:00 - 10:59
springer,2011-01-07,11,19,48,67,1510,11:00 - 12:59
springer,2011-01-07,12,9,50,59,1510,11:00 - 12:59
springer,2011-01-07,13,9,64,73,1510,13:00 - 14:59
